test,conf,round_num,avg_runtime,failrate,avg_price
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",24CPU1Mem4GB.sh,290,0.035055172413793086,0.0,0.00017019286206896545
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",25CPU1Mem8GB.sh,290,0.03369655172413792,0.0,0.000213523816091954
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",26CPU2Mem4GB.sh,290,0.015193103448275827,0.0,0.0001250139195402296
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",27CPU2Mem8GB.sh,290,0.015303448275862028,0.0,0.0001485964827586203
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",28CPU2Mem16GB.sh,290,0.01534827586206893,0.0,0.00019451381609195356
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",29CPU4Mem8GB.sh,290,0.015706896551724105,0.0,0.0002584831609195397
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",01noThrottling.sh,290,0.10189310344827582,0.0,0.0019787640689655165
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",19CPU010Mem1GB.sh,290,2.6089724137931034,0.0,0.001846500225862069
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",20CPU010Mem2GB.sh,290,2.6145655172413793,0.0,0.002818937388505747
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",21CPU025Mem2GB.sh,290,1.1117482758620687,0.0,0.0017611945603448274
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",22CPU05Mem2GB.sh,290,0.44550689655172404,0.0,0.0010814679913793103
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",23CPU05Mem4GB.sh,290,0.44707586206896555,0.0,0.0014164853563218393
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",24CPU1Mem4GB.sh,290,0.23075172413793105,0.0,0.0011202996206896554
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",25CPU1Mem8GB.sh,290,0.22529310344827583,0.0,0.0014276072988505745
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",26CPU2Mem4GB.sh,290,0.1342896551724139,0.0,0.0011049800459770123
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",27CPU2Mem8GB.sh,290,0.1321827586206897,0.0,0.001283494586206897
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",28CPU2Mem16GB.sh,290,0.13482413793103457,0.0,0.0017086712413793114
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolWithMina')",29CPU4Mem8GB.sh,290,0.10064137931034484,0.0,0.0016562216321839081
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",01noThrottling.sh,290,0.0012448275862068975,0.0,2.417455172413795e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",19CPU010Mem1GB.sh,290,0.08688275862068977,0.0,6.149127241379318e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",20CPU010Mem2GB.sh,290,0.08810689655172418,0.0,9.49939189655173e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",21CPU025Mem2GB.sh,290,0.012020689655172362,0.0,1.9042775862068885e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",22CPU05Mem2GB.sh,290,0.006558620689655149,0.0,1.5921051724137877e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",23CPU05Mem4GB.sh,290,0.00553793103448273,0.0,1.7546011494252782e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",24CPU1Mem4GB.sh,290,0.00263793103448276,0.0,1.28071551724138e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",25CPU1Mem8GB.sh,290,0.0034655172413793106,0.0,2.19598275862069e-05
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testNonSerializedParameter')",26CPU2Mem4GB.sh,290,0.0012758620689655182,0.0,1.0498218390804606e-05
