project_fr,bruteforce_category,bruteforce_confs,ga_category,ga_confs
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0.6,6-0.6-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 2}",12-0.6-fast,{'01noThrottling.sh': 12}
logback_dot-0.6,4-0.6-fast,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.6-fast,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 2}"
luwak_luwak-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
ninja_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
noxy_noxy-discovery-zookeeper-0.6,2-0.6-fast,"{'01noThrottling.sh': 1, '22CPU05Mem2GB.sh': 1}",2-0.6-fast,{'01noThrottling.sh': 2}
okhttp_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
orbit_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
retrofit_retrofit-adapters.rxjava-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},6-0.6-fast,{'29CPU4Mem8GB.sh': 6}
retrofit_retrofit-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
rxjava2-extras_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
spring-boot_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
timely_server-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.6-fast,{'01noThrottling.sh': 12}
wro4j_wro4j-extensions-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 5}",12-0.6-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}"
yawp_yawp-testing.yawp-testing-appengine-0.6,1-0.6-fast,{'29CPU4Mem8GB.sh': 1},1-0.6-fast,{'29CPU4Mem8GB.sh': 1}
zxing_dot-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0.6-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}"
activiti_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
assertj-core_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension-0.8,2-0.8-fast,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.8-fast,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
db-scheduler_dot-0.8,6-0.8-fast,"{'29CPU4Mem8GB.sh': 5, '22CPU05Mem2GB.sh': 1}",6-0.8-fast,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot-0.8,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},12-0.8-fast,{'29CPU4Mem8GB.sh': 12}
elastic-job-lite_dot-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,{'01noThrottling.sh': 12}
elastic-job-lite_elastic-job-lite-core-0.8,6-0.8-fast,{'01noThrottling.sh': 6},12-0.8-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}"
